"","Player","Year","Pos","TS.","AST.","FG.","FT.","X3P.","X2P.","ORB","DRB","AST","STL","BLK","TOV","PF","PTS","Player_year","randomPart_euclidean_12"
"183","Troy Hudson",2000,"PG",0.468,25.3,0.377,0.811,0.311,0.414,0.6,2.7,5.5,1,0,2.4,1.5,12.3,"Troy Hudson-2000",2
"184","Larry Hughes",2000,"SG",0.467,15.8,0.4,0.74,0.232,0.421,1.8,3.7,3.2,1.8,0.4,3,3,19,"Larry Hughes-2000",5
"185","Rick Hughes",2000,"PF",0.491,6.1,0.486,0.462,0,0.493,3.9,4,1.4,0.5,0.2,2.3,4.8,13.2,"Rick Hughes-2000",8
"186","Lindsey Hunter",2000,"PG",0.543,17.6,0.425,0.76,0.432,0.419,0.4,2.7,4,1.6,0.3,1.8,2.7,12.9,"Lindsey Hunter-2000",2
"187","Allen Iverson",2000,"SG",0.496,23,0.421,0.713,0.341,0.435,0.9,2.5,4.1,1.8,0.1,2.9,2,25.1,"Allen Iverson-2000",4
"188","Bobby Jackson",2000,"PG",0.474,24.6,0.405,0.776,0.283,0.423,1.7,3.6,6,1.7,0.2,2,4,12.8,"Bobby Jackson-2000",5
"189","Jaren Jackson",2000,"SG",0.503,11,0.381,0.647,0.353,0.429,0.7,3.1,2.5,1.1,0.1,1.4,3.3,10.9,"Jaren Jackson-2000",3
"191","Jim Jackson",2000,"SF",0.496,14.5,0.411,0.877,0.386,0.418,1.3,3.8,3,0.7,0.1,2.4,2.2,17.1,"Jim Jackson-2000",2
"192","Mark Jackson",2000,"PG",0.538,45,0.432,0.806,0.403,0.45,1,3.8,10.7,1.2,0.2,2.9,1.8,10.8,"Mark Jackson-2000",10
"194","Sam Jacobson",2000,"PG",0.554,7.9,0.509,0.732,0.375,0.527,1.3,2.4,1.7,1.6,0.2,1.7,6,13.5,"Sam Jacobson-2000",6
"196","Antawn Jamison",2000,"SF",0.496,10.9,0.471,0.611,0.286,0.473,4,4.3,2.1,0.7,0.3,2.6,2.7,19.5,"Antawn Jamison-2000",12
"198","Anthony Johnson",2000,"PG",0.425,16.8,0.378,0.718,0.182,0.392,1.2,1.7,4.1,1.9,0.2,1.8,3.3,8.7,"Anthony Johnson-2000",5
